title,region,region_name,region_parent_name,property_size,bedrooms,bathrooms,furnishing,is_boost,price
2bdrm Penthouse in Chevron for sale,"Lekki, Chevron",Chevron,Lagos State,400.0,2.0,2.0,Semi-Furnished,False,120000000
"2bdrm Apartment in Secured Estate, Lekki Phase 1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,200.0,2.0,2.0,Unfurnished,diamond,250000000
"4bdrm Duplex in Oke Ibadan, Akobo for sale","Ibadan, Akobo",Akobo,Oyo State,863.0,4.0,5.0,Unfurnished,enterprise,130000000
"2bdrm Duplex in Ps Court, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,450.0,2.0,2.0,Unfurnished,enterprise,86000000
"Furnished 5bdrm Duplex in Engr Lere Adigun Gra, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,550.0,5.0,5.0,Furnished,enterprise,200000000
5bdrm Bungalow in Adamo for sale,"Ikorodu, Adamo",Adamo,Lagos State,350.0,5.0,7.0,Unfurnished,diamond,10000000
Furnished 7bdrm Apartment in Igbogbo for sale,"Ikorodu, Igbogbo",Igbogbo,Lagos State,650.0,7.0,3.0,Furnished,diamond,35000000
"Furnished 5bdrm Duplex in Shonibare Estate, Ikeja for sale","Lagos State, Ikeja",Ikeja,Lagos State,600.0,5.0,6.0,Furnished,diamond,600000000
"5bdrm Duplex in Oral Estate, Ikota for sale","Lekki, Ikota",Ikota,Lagos State,400.0,5.0,5.0,Unfurnished,diamond,480000000
"5bdrm Duplex in Megamound Estate, Ikota for sale","Lekki, Ikota",Ikota,Lagos State,400.0,5.0,5.0,Unfurnished,diamond,280000000
4bdrm Duplex in Life Camp for sale,"Gwarinpa, Life Camp",Life Camp,Abuja (Fct),500.0,4.0,4.0,Unfurnished,False,250000000
Furnished 8bdrm Duplex in Ikeja GRA for sale,"Ikeja, Ikeja Gra",Ikeja Gra,Lagos State,750.0,8.0,8.0,Furnished,diamond,450000000
"Furnished 2bdrm Block of Flats in Igbogbo Road, Ikorodu for sale","Lagos State, Ikorodu",Ikorodu,Lagos State,350.0,2.0,2.0,Furnished,diamond,20000000
Furnished 3bdrm Bungalow in Ibeshe / Ikorodu for sale,"Ikorodu, Ibeshe / Ikorodu",Ibeshe / Ikorodu,Lagos State,350.0,3.0,4.0,Furnished,diamond,35000000
Furnished 4bdrm Duplex in Lekki for sale,"Lagos State, Lekki",Lekki,Lagos State,350.0,4.0,5.0,Furnished,diamond,125000000
2bdrm Block of Flats in Port-Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,654.0,2.0,3.0,Unfurnished,False,150000000
4bdrm Bungalow in Port-Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,465.0,4.0,4.0,Unfurnished,False,65000000
"3bdrm Apartment in In A Secured Estate, Lekki Phase 1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,200.0,3.0,3.0,Unfurnished,diamond,400000000
"2bdrm Apartment in Akala Akobo, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,916.0,2.0,2.0,Unfurnished,enterprise,40000000
"Studio Apartment in Oreyo Road, Ikorodu for Sale","Lagos State, Ikorodu",Ikorodu,Lagos State,325.0,1.0,1.0,Semi-Furnished,diamond,5000000
"5bdrm Duplex in Cedarwood, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,465.0,5.0,6.0,Unfurnished,False,150000000
"2bdrm Apartment in In A Secured Estate, Chevron for sale","Lekki, Chevron",Chevron,Lagos State,100.0,2.0,2.0,Unfurnished,diamond,75000000
5bdrm Bungalow in Kuje for sale,"Abuja (Fct), Kuje",Kuje,Abuja (Fct),450.0,5.0,5.0,Semi-Furnished,False,40000000
"4bdrm Duplex in Kolapo Ishola Gra, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,450.0,4.0,4.0,Unfurnished,enterprise,185000000
"Furnished 4bdrm Duplex in Alafia Estate, Akobo for sale","Ibadan, Akobo",Akobo,Oyo State,500.0,4.0,5.0,Furnished,enterprise,135000000
5bdrm Duplex in Port-Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,465.0,5.0,6.0,Unfurnished,False,140000000
"4bdrm Penthouse in Stable City, Lugbe District for sale","Abuja (Fct), Lugbe District",Lugbe District,Abuja (Fct),500.0,4.0,4.0,Unfurnished,diamond,90000000
Furnished 3bdrm Apartment in Banana Island for Sale,"Ikoyi, Banana Island",Banana Island,Lagos State,200.0,3.0,4.0,Furnished,diamond,180000000
Furnished 5bdrm Duplex in GRA Phase 1 for Sale,"Magodo, Gra Phase 1",Gra Phase 1,Lagos State,650.0,5.0,5.0,Furnished,diamond,170000000
5bdrm Duplex in Ikorodu Garage for sale,"Ikorodu, Ikorodu Garage",Ikorodu Garage,Lagos State,650.0,5.0,5.0,Semi-Furnished,diamond,21000000
4bdrm Bungalow in Port-Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,465.0,4.0,5.0,Unfurnished,False,70000000
"2bdrm Apartment in In A Secured Estate, Chevron for sale","Lekki, Chevron",Chevron,Lagos State,100.0,2.0,2.0,Unfurnished,diamond,60000000
4bdrm Duplex in Apo Resettlement for sale,"Apo District, Apo Resettlement",Apo Resettlement,Lagos State,700.0,4.0,4.0,Semi-Furnished,False,700000000
"5bdrm Penthouse in Kolapo Ishola Gra, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,450.0,5.0,5.0,Unfurnished,enterprise,430000000
"4bdrm Duplex in Aso, Sabon Lugbe for sale","Lugbe District, Sabon Lugbe",Sabon Lugbe,Lagos State,500.0,4.0,5.0,Unfurnished,diamond,180000000
Furnished 4bdrm Duplex in Chevron for sale,"Lekki, Chevron",Chevron,Lagos State,400.0,4.0,5.0,Furnished,diamond,120000000
4bdrm Duplex in Ikota Gra for sale,"Lekki, Ikota",Ikota,Lagos State,250.0,4.0,4.0,Unfurnished,diamond,85000000
"2bdrm Apartment in Secured Neighborhood, Ologolo for sale","Lekki, Ologolo",Ologolo,Lagos State,150.0,2.0,2.0,Unfurnished,diamond,100000000
10bdrm House in Maryland for Sale,"Lagos State, Maryland",Maryland,Lagos State,425.0,10.0,5.0,Semi-Furnished,diamond,170000000
Furnished 4bdrm Duplex in Ojodu for sale,"Lagos State, Ojodu",Ojodu,Lagos State,300.0,4.0,5.0,Furnished,diamond,145000000
Furnished 5bdrm Duplex in Chevron for sale,"Lekki, Chevron",Chevron,Lagos State,400.0,5.0,6.0,Furnished,diamond,390000000
Furnished 4bdrm Duplex in Ogudu GRA for sale,"Ogudu, Ogudu Gra",Ogudu Gra,Lagos State,350.0,4.0,5.0,Furnished,diamond,160000000
Furnished 4bdrm Duplex in Ebute for sale,"Ikorodu, Ebute",Ebute,Lagos State,400.0,4.0,5.0,Furnished,diamond,85000000
2bdrm Block of Flats in Port-Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,465.0,2.0,3.0,Unfurnished,False,45000000
"2bdrm Duplex in Goshen -Trust Estate, Karsana for sale","Gwagwa, Karsana",Karsana,Abuja (Fct),250.0,2.0,2.0,Unfurnished,enterprise,48000000
5bdrm Duplex in Lekki for sale,"Lagos State, Lekki",Lekki,Lagos State,600.0,5.0,5.0,Semi-Furnished,False,520000000
"Furnished 3bdrm Duplex in Kolapo Ishola Gra, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,450.0,3.0,3.0,Furnished,enterprise,270000000
"5bdrm Duplex in Kolapo Ishola Gra, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,863.0,5.0,5.0,Unfurnished,enterprise,220000000
3bdrm Block of Flats in Jahi for sale,"Abuja (Fct), Jahi",Jahi,Abuja (Fct),200.0,3.0,4.0,Unfurnished,enterprise,160000000
Furnished 4bdrm Duplex in Anthony Village for sale,"Maryland, Anthony Village",Anthony Village,Lagos State,300.0,4.0,5.0,Furnished,diamond,180000000
"4bdrm Duplex in In A Secured Estate, Chevron for sale","Lekki, Chevron",Chevron,Lagos State,300.0,4.0,4.0,Unfurnished,diamond,195000000
"4bdrm Duplex in Freedom Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,500.0,4.0,4.0,Unfurnished,diamond,140000000
"4bdrm Penthouse in Cheif Lateef Oyelade, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,800.0,4.0,4.0,Unfurnished,enterprise,230000000
"Furnished 5bdrm Duplex in Riverpark, Lugbe District for sale","Abuja (Fct), Lugbe District",Lugbe District,Abuja (Fct),500.0,5.0,5.0,Furnished,diamond,350000000
4bdrm Duplex in Ikota Jra Estate for sale,"Lekki, Ikota",Ikota,Lagos State,300.0,4.0,4.0,Semi-Furnished,diamond,165000000
"Furnished 4bdrm Duplex in Millennium Estate, Millenuim/Ups for Sale","Gbagada, Millenuim/Ups",Millenuim/Ups,Lagos State,400.0,4.0,5.0,Furnished,diamond,130000000
Furnished 4bdrm Duplex in Chevron for sale,"Lekki, Chevron",Chevron,Lagos State,400.0,4.0,5.0,Furnished,diamond,350000000
Furnished 3bdrm Bungalow in Ikorodu Garage for sale,"Ikorodu, Ikorodu Garage",Ikorodu Garage,Lagos State,650.0,3.0,4.0,Furnished,diamond,25000000
5bdrm Duplex in Port-Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,465.0,5.0,6.0,Unfurnished,False,135000000
5bdrm Duplex in Ikota Gra for sale,"Lekki, Ikota",Ikota,Lagos State,500.0,5.0,5.0,Unfurnished,diamond,450000000
"2bdrm Block of Flats in Alakahia, Uzoba for sale","Port-Harcourt, Uzoba",Uzoba,Rivers State,465.0,2.0,2.0,Semi-Furnished,diamond,180000000
"5bdrm Duplex in Iwofe Road, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,465.0,5.0,5.0,Semi-Furnished,diamond,185000000
"Furnished 4bdrm Duplex in Harmony Estate Naf, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,465.0,4.0,4.0,Furnished,diamond,500000000
"4bdrm Duplex in Jericho Gra, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,900.0,4.0,4.0,Semi-Furnished,enterprise,240000000
5bdrm Duplex in Port-Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,820.0,5.0,6.0,Unfurnished,False,120000000
4bdrm Duplex in Port-Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,856.0,4.0,5.0,Unfurnished,False,120000000
4bdrm Bungalow in Port-Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,465.0,4.0,5.0,Unfurnished,False,34000000
"3bdrm Bungalow in Havana Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,465.0,3.0,3.0,Semi-Furnished,diamond,50000000
2bdrm Apartment in Mobile Road Ajah for sale,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos State,200.0,2.0,3.0,Semi-Furnished,diamond,80000000
Furnished 5bdrm Duplex in Isheri / Egbe Idimu for sale,"Egbe/Idimu, Isheri / Egbe Idimu",Isheri / Egbe Idimu,Osun State,1300.0,5.0,6.0,Furnished,False,260000000
"Furnished 7bdrm Duplex in New Oko Oba, Abule Egba for sale","Lagos State, Abule Egba",Abule Egba,Lagos State,648.0,7.0,8.0,Furnished,diamond,350000000
"5bdrm Penthouse in Kolapo Ishola Gra, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,450.0,5.0,5.0,Unfurnished,enterprise,200000000
"4bdrm Duplex in Orchid, Chevron for sale","Lekki, Chevron",Chevron,Lagos State,300.0,4.0,4.0,Semi-Furnished,diamond,280000000
"Furnished 3bdrm Bungalow in Peak Park Estate, Olokonla for sale","Ajah, Olokonla",Olokonla,Lagos State,300.0,3.0,3.0,Furnished,diamond,65000000
"4bdrm Duplex in Orchid Road Lekki, Chevron for sale","Lekki, Chevron",Chevron,Lagos State,300.0,4.0,4.0,Semi-Furnished,diamond,200000000
"2bdrm Bungalow in Heritage Estate, Ikorodu for sale","Lagos State, Ikorodu",Ikorodu,Lagos State,650.0,2.0,3.0,Unfurnished,diamond,30000000
3bdrm House in Okota for Sale,"Isolo, Okota",Okota,Lagos State,650.0,3.0,4.0,Semi-Furnished,diamond,60000000
5bdrm Duplex in Eliozu for sale,"Port-Harcourt, Eliozu",Eliozu,Rivers State,958.0,5.0,6.0,Unfurnished,False,200000000
3bdrm Block of Flats in Port-Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,655.0,3.0,4.0,Unfurnished,False,80000000
"4bdrm Duplex in Kolapo Ishola Gra, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,500.0,4.0,4.0,Unfurnished,enterprise,450000000
"4bdrm Duplex in Chief Lateef Oyelade, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,600.0,4.0,4.0,Unfurnished,enterprise,240000000
"4bdrm Duplex in Lere Adigun Gra, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,425.0,4.0,5.0,Unfurnished,enterprise,165000000
"5bdrm Duplex in Kolapo Ishola Gra, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,500.0,5.0,5.0,Unfurnished,enterprise,350000000
5bdrm Duplex in Lugbe for sale,"Abuja (Fct), Lugbe District",Lugbe District,Abuja (Fct),500.0,5.0,5.0,Unfurnished,diamond,190000000
2bdrm Apartment in Peninsula Scheme for sale,"Lagos State, Ajah",Ajah,Lagos State,600.0,2.0,2.0,Semi-Furnished,diamond,70000000
5bdrm Duplex in Chevron Toll Gate for sale,"Lekki, Chevron",Chevron,Lagos State,350.0,5.0,5.0,Semi-Furnished,diamond,250000000
4bdrm Bungalow in Igbogbo for sale,"Ikorodu, Igbogbo",Igbogbo,Lagos State,500.0,4.0,4.0,Semi-Furnished,diamond,17000000
"3bdrm Block of Flats in Rabaka Estate, Ibeshe / Ikorodu for sale","Ikorodu, Ibeshe / Ikorodu",Ibeshe / Ikorodu,Lagos State,650.0,3.0,4.0,Semi-Furnished,diamond,35000000
Furnished 3bdrm Apartment in Ikoyi for Sale,"Lagos State, Ikoyi",Ikoyi,Lagos State,150.0,3.0,4.0,Furnished,diamond,150000000
Furnished 4bdrm Duplex in Igbogbo for sale,"Ikorodu, Igbogbo",Igbogbo,Lagos State,650.0,4.0,5.0,Furnished,diamond,35000000
"4bdrm Duplex in In A Secured Estate, Ikate-Elegushi for sale","Lekki, Ikate-Elegushi",Ikate-Elegushi,Lagos State,250.0,4.0,4.0,Unfurnished,diamond,300000000
5bdrm Duplex in Nut Road Lugbe for sale,"Abuja (Fct), Lugbe District",Lugbe District,Abuja (Fct),430.0,5.0,5.0,Semi-Furnished,diamond,160000000
4bdrm Duplex in Olokonla for sale,"Ajah, Olokonla",Olokonla,Lagos State,300.0,4.0,4.0,Semi-Furnished,diamond,160000000
Furnished 3bdrm Bungalow in Off Lekki-Epe Expressway for sale,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos State,350.0,3.0,4.0,Furnished,False,80000000
"Furnished 2bdrm Bungalow in Unity Estate, Igbogbo for sale","Ikorodu, Igbogbo",Igbogbo,Lagos State,650.0,2.0,3.0,Furnished,diamond,20000000
Furnished 4bdrm Duplex in Ajah for Sale,"Lagos State, Ajah",Ajah,Lagos State,400.0,4.0,5.0,Furnished,diamond,65000000
Furnished 12bdrm Block of Flats in Ebute for sale,"Ikorodu, Ebute",Ebute,Lagos State,650.0,12.0,16.0,Furnished,diamond,55000000
"2bdrm Apartment in Secured Estate, Ologolo for sale","Lekki, Ologolo",Ologolo,Lagos State,150.0,2.0,2.0,Unfurnished,diamond,100000000
Furnished 5bdrm Duplex in Guzape for sale,"Abuja (Fct), Guzape District",Guzape District,Abuja (Fct),1000.0,5.0,5.0,Furnished,diamond,600000000
"4bdrm Duplex in Lekki County Home 🏡, Ikota for sale","Lekki, Ikota",Ikota,Lagos State,450.0,4.0,4.0,Semi-Furnished,diamond,220000000
"4bdrm Duplex in Addo Road, Abraham Adesanya Estate for sale","Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,500.0,4.0,4.0,Semi-Furnished,diamond,250000000
Furnished 8bdrm Block of Flats in Mile 12 for sale,"Kosofe, Mile 12",Mile 12,Lagos State,650.0,8.0,16.0,Furnished,diamond,60000000
Furnished 6bdrm Duplex in Chevron for sale,"Lekki, Chevron",Chevron,Lagos State,400.0,6.0,7.0,Furnished,diamond,650000000
4bdrm Bungalow in Port-Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,465.0,4.0,5.0,Unfurnished,False,45000000
"4bdrm Duplex in Cocaine Estate, Rumuogba for sale","Port-Harcourt, Rumuogba",Rumuogba,Rivers State,752.0,4.0,5.0,Unfurnished,False,200000000
4bdrm Duplex in Ikota Gra for sale,"Lekki, Ikota",Ikota,Lagos State,250.0,4.0,4.0,Unfurnished,diamond,95000000
"4bdrm Duplex in Secured Estate, Sangotedo for sale","Ajah, Sangotedo",Sangotedo,Lagos State,300.0,4.0,4.0,Unfurnished,diamond,145000000
"2bdrm Apartment in In A Secured Estate, Lekki Phase 1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,200.0,2.0,2.0,Unfurnished,diamond,125000000
"6bdrm Duplex in Ikenegbu, Owerri for sale","Imo State, Owerri",Owerri,Imo State,1000.0,6.0,6.0,Semi-Furnished,diamond,350000000
"6bdrm Duplex in Mosfala Estate, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,544.0,6.0,5.0,Semi-Furnished,False,55000000
"4bdrm Duplex in Mshel, Sabon Lugbe for sale","Lugbe District, Sabon Lugbe",Sabon Lugbe,Lagos State,500.0,4.0,4.0,Unfurnished,diamond,155000000
"5bdrm Duplex in Rock, Sabon Lugbe for sale","Lugbe District, Sabon Lugbe",Sabon Lugbe,Lagos State,500.0,5.0,7.0,Unfurnished,diamond,190000000
4bdrm Duplex in Ikota Jra Lekki for sale,"Lekki, Ikota",Ikota,Lagos State,300.0,4.0,4.0,Semi-Furnished,diamond,180000000
4bdrm Duplex in Ikota Jra for sale,"Lekki, Ikota",Ikota,Lagos State,300.0,4.0,4.0,Semi-Furnished,diamond,170000000
3bdrm Duplex in Paradise Chevron for sale,"Lekki, Chevron",Chevron,Lagos State,300.0,3.0,3.0,Semi-Furnished,diamond,180000000
"5bdrm Duplex in Ajah Lagos, Chevron for sale","Lekki, Chevron",Chevron,Lagos State,350.0,5.0,5.0,Semi-Furnished,diamond,210000000
"Furnished 5bdrm Duplex in Valley View, Ebute for sale","Ikorodu, Ebute",Ebute,Lagos State,650.0,5.0,6.0,Furnished,diamond,150000000
Furnished 2bdrm Apartment in Ikorodu for sale,"Lagos State, Ikorodu",Ikorodu,Lagos State,650.0,2.0,3.0,Furnished,diamond,30000000
Furnished 3bdrm Bungalow in Abraham Adesanya Estate for Sale,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,40.0,3.0,4.0,Furnished,diamond,40000000
1bdrm Block of Flats in Port-Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,465.0,1.0,2.0,Unfurnished,False,30000000
"Furnished 2bdrm Apartment in In A Secured, Ikate for sale","Lekki, Ikate",Ikate,Lagos State,150.0,2.0,2.0,Furnished,diamond,135000000
"Furnished 4bdrm Duplex in In A Secured Estate, Lekki Phase 1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,250.0,4.0,4.0,Furnished,diamond,550000000
"6bdrm Duplex in Agodi Gra, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,2200.0,6.0,7.0,Unfurnished,enterprise,350000000
"5bdrm Duplex in Silo, Sabon Lugbe for sale","Lugbe District, Sabon Lugbe",Sabon Lugbe,Lagos State,500.0,5.0,5.0,Unfurnished,diamond,100000000
5bdrm Duplex in Ikota for sale,"Lekki, Ikota",Ikota,Lagos State,350.0,5.0,5.0,Semi-Furnished,diamond,350000000
4bdrm Duplex in Ologolo for sale,"Lekki, Ologolo",Ologolo,Lagos State,350.0,4.0,4.0,Semi-Furnished,diamond,180000000
5bdrm Duplex in Ajah for sale,"Lagos State, Ajah",Ajah,Lagos State,500.0,5.0,5.0,Semi-Furnished,diamond,165000000
Furnished 4bdrm Duplex in Ogudu Gra for sale,"Ogudu, Ogudu Gra",Ogudu Gra,Lagos State,300.0,4.0,5.0,Furnished,diamond,160000000
"4bdrm Duplex in Rumudara, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,465.0,4.0,4.0,Unfurnished,diamond,85000000
"4bdrm Duplex in Vine, Sabon Lugbe for sale","Lugbe District, Sabon Lugbe",Sabon Lugbe,Lagos State,500.0,4.0,4.0,Unfurnished,diamond,138000000
2bdrm Apartment in Ikate for sale,"Lekki, Ikate",Ikate,Lagos State,5000.0,2.0,2.0,Semi-Furnished,diamond,162000000
5bdrm Duplex in Chevron Toll Gate for sale,"Lekki, Chevron",Chevron,Lagos State,400.0,5.0,5.0,Semi-Furnished,diamond,460000000
"20bdrm Block of Flats in Teachers Quarter, Ikorodu for sale","Lagos State, Ikorodu",Ikorodu,Lagos State,650.0,20.0,20.0,Unfurnished,diamond,30000000
"Furnished 2bdrm Block of Flats in Green Leaf Estate, Ikorodu for sale","Lagos State, Ikorodu",Ikorodu,Lagos State,650.0,2.0,2.0,Furnished,diamond,100000000
Furnished 5bdrm Duplex in Lekki for sale,"Lagos State, Lekki",Lekki,Lagos State,400.0,5.0,6.0,Furnished,diamond,300000000
10bdrm Block of Flats in Port-Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,2500.0,10.0,5.0,Unfurnished,False,100000000
"Furnished 1bdrm Apartment in Secured Estate, Lekki Phase 1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,200.0,1.0,1.0,Furnished,diamond,175000000
"2bdrm Block of Flats in Goshen, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,1000.0,2.0,3.0,Semi-Furnished,diamond,120000000
"5bdrm Duplex in Anarock, Sabon Lugbe for sale","Lugbe District, Sabon Lugbe",Sabon Lugbe,Lagos State,500.0,5.0,6.0,Unfurnished,diamond,100000000
"5bdrm Duplex in Ochacho Real Homes, Idu for sale","Jiwa, Idu",Idu,Abuja (Fct),500.0,5.0,6.0,Unfurnished,diamond,255000000
4bdrm Duplex in Olokonla for sale,"Ajah, Olokonla",Olokonla,Lagos State,300.0,4.0,4.0,Semi-Furnished,diamond,100000000
