"film_title","film_category","total_rental_revenue","total_number_of_rental","avg_revenue_per_rental","last_rental_date"
"Falcon Volume","Animation","106.81","18","5.9338888888888889","2006-02-14 15:16:03"
"Spice Sorority","Drama","106.81","19","5.6215789473684211","2005-08-23 03:01:56"
"Brooklyn Desert","Foreign","106.81","19","5.6215789473684211","2005-08-22 03:20:26"
"Virtual Spoilers","Family","105.87","13","8.1438461538461538","2005-08-23 13:22:56"
"Galaxy Sweethearts","Classics","105.84","16","6.6150000000000000","2005-08-22 23:17:41"
"League Hellfighters","Classics","105.83","17","6.2252941176470588","2005-08-21 23:17:26"
"Requiem Tycoon","Classics","105.82","18","5.8788888888888889","2005-08-23 09:37:34"
"Chasing Fight","Family","105.82","19","5.5694736842105263","2006-02-14 15:16:03"
"Secret Groundhog","Documentary","105.81","19","5.5689473684210526","2005-08-22 20:27:38"
"Driving Polish","Music","105.81","19","5.5689473684210526","2005-08-22 20:22:40"
"Reign Gentlemen","Sci-Fi","105.81","19","5.5689473684210526","2005-08-23 13:43:26"
"Clueless Bucket","Action","105.77","23","4.5986956521739130","2005-08-23 10:25:45"
"Strangers Graffiti","Horror","104.86","14","7.4900000000000000","2005-08-23 11:17:26"
"Breakfast Goldfinger","New","104.84","16","6.5525000000000000","2005-08-23 18:59:33"
"Jerk Paycheck","Classics","104.81","19","5.5163157894736842","2005-08-23 12:26:19"
"Truman Crazy","Action","104.80","20","5.2400000000000000","2005-08-22 21:18:59"
"Wash Heavenly","Foreign","104.80","20","5.2400000000000000","2005-08-21 22:53:01"
"Arizona Bang","Classics","104.79","21","4.9900000000000000","2005-08-23 05:08:58"
"Hanky October","Sci-Fi","104.77","23","4.5552173913043478","2005-08-23 18:23:30"
"Tycoon Gathering","Games","103.88","12","8.6566666666666667","2005-08-23 06:18:43"
"Million Ace","Classics","103.83","17","6.1076470588235294","2005-08-23 02:05:51"
"Sleepless Monsoon","Animation","103.83","17","6.1076470588235294","2006-02-14 15:16:03"
"Open African","Sci-Fi","103.81","19","5.4636842105263158","2005-08-23 17:39:35"
"Angels Life","New","103.80","20","5.1900000000000000","2005-08-23 13:46:00"
"Cupboard Sinners","Documentary","103.78","22","4.7172727272727273","2005-08-22 09:37:54"
"Greatest North","Music","103.73","27","3.8418518518518519","2005-08-23 16:32:10"
"Birds Perdition","New","102.83","17","6.0488235294117647","2005-08-23 10:36:00"
"Undefeated Dalmations","Horror","102.81","19","5.4110526315789474","2005-08-23 13:29:08"
"South Wait","Action","102.79","21","4.8947619047619048","2006-02-14 15:16:03"
"Forward Temple","Games","102.74","26","3.9515384615384615","2005-08-23 12:29:24"
"Timberland Sky","Classics","102.74","26","3.9515384615384615","2005-08-23 00:53:57"
"Attacks Hate","Sci-Fi","101.84","16","6.3650000000000000","2005-08-23 04:48:12"
"Paycheck Wait","Drama","101.84","16","6.3650000000000000","2005-08-23 16:50:53"
"Expecations Natural","Travel","101.83","17","5.9900000000000000","2005-08-22 09:33:08"
"Sweden Shining","Comedy","101.83","16","6.3643750000000000","2006-02-14 15:16:03"
"Tomorrow Hustler","Classics","101.76","24","4.2400000000000000","2005-08-23 22:20:26"
"Samurai Lion","New","101.76","24","4.2400000000000000","2005-08-23 08:59:12"
"Poseidon Forever","Sports","100.83","17","5.9311764705882353","2005-08-23 20:22:17"
"Giant Troopers","Children","100.74","26","3.8746153846153846","2005-08-22 16:57:02"
"Invasion Cyclone","Children","100.74","26","3.8746153846153846","2005-08-23 17:00:12"
"Confused Candles","Family","99.84","16","6.2400000000000000","2005-08-20 16:17:27"
"Stepmom Dream","Foreign","99.81","19","5.2531578947368421","2005-08-22 22:12:02"
"Knock Warlock","Comedy","99.79","21","4.7519047619047619","2005-08-22 10:14:33"
"English Bulworth","Sci-Fi","99.74","26","3.8361538461538462","2005-08-23 18:43:11"
"Hall Cassidy","Children","98.84","16","6.1775000000000000","2005-08-23 19:51:30"
"Egg Igby","Documentary","98.81","19","5.2005263157894737","2005-08-22 07:19:05"
"Brotherhood Blanket","Documentary","98.77","23","4.2943478260869565","2005-08-22 22:57:25"
"Thief Pelican","Animation","97.84","16","6.1150000000000000","2005-08-22 14:23:11"
"Jason Trap","Family","97.77","23","4.2508695652173913","2006-02-14 15:16:03"
"Grit Clockwork","Games","97.72","28","3.4900000000000000","2005-08-23 13:46:27"
"Rocketeer Mother","Foreign","97.72","28","3.4900000000000000","2005-08-23 20:10:13"
"Shock Cabin","Foreign","96.71","29","3.3348275862068966","2006-02-14 15:16:03"
"Jericho Mulan","Games","95.84","16","5.9900000000000000","2005-08-23 18:20:56"
"Inch Jet","Animation","95.82","18","5.3233333333333333","2005-08-23 09:53:30"
"Salute Apollo","New","95.80","20","4.7900000000000000","2005-08-22 19:09:52"
"Gangs Pride","Animation","95.78","22","4.3536363636363636","2005-08-23 16:34:31"
"Hyde Doctor","Classics","95.76","23","4.1634782608695652","2006-02-14 15:16:03"
"Bilko Anonymous","Family","94.88","12","7.9066666666666667","2005-08-23 14:55:47"
"Gold River","Comedy","94.86","14","6.7757142857142857","2005-08-22 19:44:59"
"Mermaid Insects","Sports","94.85","15","6.3233333333333333","2005-08-22 07:04:25"
"French Holiday","Documentary","94.84","16","5.9275000000000000","2005-08-22 09:54:54"
"Gorgeous Bingo","Children","94.83","17","5.5782352941176471","2006-02-14 15:16:03"
"Peak Forever","Sports","94.82","18","5.2677777777777778","2005-08-23 15:08:00"
"Patton Interview","Horror","94.79","21","4.5138095238095238","2005-08-23 08:52:50"
"Fargo Gandhi","Children","94.79","21","4.5138095238095238","2005-08-22 06:29:34"
"Fish Opus","Sci-Fi","94.78","22","4.3081818181818182","2005-08-23 17:57:35"
"Expendable Stallion","Documentary","94.74","26","3.6438461538461538","2005-08-23 12:47:37"
"Spy Mile","Games","94.73","27","3.5085185185185185","2005-08-22 16:37:36"
"Day Unfaithful","New","93.88","12","7.8233333333333333","2006-02-14 15:16:03"
"Pickup Driving","Sports","93.85","15","6.2566666666666667","2005-08-20 12:11:28"
"Sugar Wonka","Animation","93.85","15","6.2566666666666667","2005-08-23 03:03:53"
"Bear Graceland","Children","93.81","19","4.9373684210526316","2005-08-23 11:56:22"
"Camelot Vacation","Sci-Fi","93.76","24","3.9066666666666667","2006-02-14 15:16:03"
"Sweethearts Suspects","Children","93.73","27","3.4714814814814815","2006-02-14 15:16:03"
"West Lion","Drama","92.86","14","6.6328571428571429","2005-08-22 07:51:47"
"Hanging Deep","Drama","92.85","15","6.1900000000000000","2005-08-20 23:42:31"
"Core Suit","Classics","92.84","16","5.8025000000000000","2005-08-23 04:20:16"
"Jet Neighbors","Foreign","92.83","17","5.4605882352941176","2005-08-23 19:19:06"
"Hellfighters Sierra","Foreign","92.81","19","4.8847368421052632","2005-08-23 15:34:49"
"Fatal Haunted","New","92.77","23","4.0334782608695652","2005-08-22 23:55:51"
"Silverado Goldfinger","Sci-Fi","91.88","12","7.6566666666666667","2006-02-14 15:16:03"
"Destiny Saturday","New","91.85","15","6.1233333333333333","2005-08-21 02:56:52"
"Balloon Homeward","Music","91.78","22","4.1718181818181818","2005-08-23 00:56:27"
"Dude Blindness","Sports","90.87","13","6.9900000000000000","2005-08-23 07:10:22"
"Wizard Coldblooded","Music","90.85","15","6.0566666666666667","2005-08-23 10:32:52"
"Ice Crossing","Games","90.78","22","4.1263636363636364","2005-08-23 02:08:40"
"Pure Runner","Comedy","89.85","15","5.9900000000000000","2006-02-14 15:16:03"
"Coldblooded Darling","Sci-Fi","89.84","16","5.6150000000000000","2005-08-23 05:39:06"
"Igby Maker","Travel","89.83","17","5.2841176470588235","2006-02-14 15:16:03"
"Vacation Boondock","Sci-Fi","89.81","19","4.7268421052631579","2005-08-23 11:40:30"
"Rocky War","Drama","88.87","13","6.8361538461538462","2005-08-22 20:41:53"
"Memento Zoolander","Comedy","88.87","13","6.8361538461538462","2005-08-22 21:01:25"
"Candidate Perdition","Classics","88.82","17","5.2247058823529412","2006-02-14 15:16:03"
"Metal Armageddon","Documentary","88.79","21","4.2280952380952381","2005-08-22 23:58:09"
"Telemark Heartbreakers","Animation","88.76","24","3.6983333333333333","2005-08-23 06:19:12"
"Idols Snatchers","Children","88.76","24","3.6983333333333333","2005-08-23 20:27:34"
"Behavior Runaway","Horror","87.89","11","7.9900000000000000","2005-08-22 06:46:03"
"Flash Wars","New","87.88","12","7.3233333333333333","2005-08-23 15:21:35"
"Bright Encounters","Drama","87.88","12","7.3233333333333333","2005-08-22 05:16:16"
"Hysterical Grail","Sports","87.85","15","5.8566666666666667","2005-08-21 07:29:05"
"Darn Forrester","Action","87.83","17","5.1664705882352941","2005-08-23 21:54:02"
"Basic Easy","Travel","87.80","20","4.3900000000000000","2006-02-14 15:16:03"
"Oz Liaisons","Animation","87.78","22","3.9900000000000000","2005-08-23 04:00:30"
"Color Philadelphia","Classics","87.78","22","3.9900000000000000","2005-08-23 22:06:15"
"Panky Submarine","Games","86.88","12","7.2400000000000000","2005-08-19 09:34:02"
"Airport Pollock","Horror","86.85","15","5.7900000000000000","2005-08-23 20:24:36"
"Slacker Liaisons","Drama","86.84","16","5.4275000000000000","2005-08-23 13:18:46"
"Virgin Daisy","Drama","86.84","16","5.4275000000000000","2005-08-22 19:45:57"
"Seabiscuit Punk","Sports","86.76","24","3.6150000000000000","2006-02-14 15:16:03"
"Muscle Bright","Travel","86.73","27","3.2122222222222222","2005-08-23 00:07:53"
"Juggler Hardly","Animation","86.71","29","2.9900000000000000","2006-02-14 15:16:03"
"Daisy Menagerie","Sci-Fi","85.86","14","6.1328571428571429","2005-08-22 18:21:04"
"Steers Armageddon","Sports","85.85","15","5.7233333333333333","2005-08-22 23:11:59"
"Robbers Joon","Children","85.74","26","3.2976923076923077","2005-08-22 04:09:18"
"Conquerer Nuts","Drama","84.87","13","6.5284615384615385","2005-08-22 21:29:14"
"Chicago North","Games","84.85","15","5.6566666666666667","2005-08-21 22:12:45"
"Sea Virgin","Drama","84.81","19","4.4636842105263158","2005-08-23 05:49:21"
"Alien Center","Foreign","84.80","20","4.2400000000000000","2005-08-23 19:21:22"
"Barbarella Streetcar","Sci-Fi","84.78","22","3.8536363636363636","2005-08-23 20:45:53"
"Married Go","Sci-Fi","84.74","26","3.2592307692307692","2005-08-22 19:56:41"
"Pittsburgh Hunchback","Family","83.89","11","7.6263636363636364","2005-08-22 06:37:43"
"Panther Reds","Sci-Fi","83.86","14","5.9900000000000000","2005-08-22 17:22:41"
"Loser Hustler","Sports","83.86","14","5.9900000000000000","2005-08-23 01:25:30"
"Sagebrush Clueless","Documentary","83.86","14","5.9900000000000000","2005-08-23 12:43:30"
"Dying Maker","Comedy","83.85","15","5.5900000000000000","2005-08-21 16:52:03"
"Forrest Sons","Action","83.83","17","4.9311764705882353","2005-08-23 15:47:02"
"Star Operation","Sports","83.80","20","4.1900000000000000","2006-02-14 15:16:03"
"Affair Prejudice","Horror","83.79","21","3.9900000000000000","2006-02-14 15:16:03"
"Oscar Gold","Animation","83.75","25","3.3500000000000000","2005-08-23 15:09:17"
"Airplane Sierra","Comedy","82.85","15","5.5233333333333333","2005-08-22 17:18:05"
"Musketeers Wait","Classics","82.85","15","5.5233333333333333","2005-08-21 02:23:25"
"Holiday Games","Foreign","82.85","15","5.5233333333333333","2005-08-23 01:29:59"
"Casablanca Super","Travel","82.84","16","5.1775000000000000","2005-08-23 01:16:55"
"Hurricane Affair","Comedy","82.77","23","3.5986956521739130","2005-08-21 09:04:20"
"Paths Control","Drama","81.90","10","8.1900000000000000","2005-08-23 16:18:12"
"Hanover Galaxy","Music","81.86","14","5.8471428571428571","2005-08-20 18:42:40"
"Campus Remember","Action","81.83","17","4.8135294117647059","2005-08-22 19:46:36"
"Rush Goodfellas","Family","81.72","28","2.9185714285714286","2005-08-22 10:29:44"
"Dragonfly Strangers","New","80.86","14","5.7757142857142857","2006-02-14 15:16:03"
"Peach Innocent","Sports","80.86","13","6.2200000000000000","2006-02-14 15:16:03"
"Human Graffiti","Games","80.85","15","5.3900000000000000","2005-08-22 17:46:41"
"Vanishing Rocky","Music","80.83","17","4.7547058823529412","2006-02-14 15:16:03"
"Orient Closer","Drama","80.83","17","4.7547058823529412","2005-08-23 21:44:27"
"Wardrobe Phantom","Drama","80.77","23","3.5117391304347826","2005-08-23 15:29:41"
"Operation Operation","Comedy","80.75","25","3.2300000000000000","2006-02-14 15:16:03"
"Betrayed Rear","Children","79.87","13","6.1438461538461538","2005-08-21 04:29:11"
"Edge Kissing","Drama","79.87","13","6.1438461538461538","2005-08-23 20:41:09"
"Bikini Borrowers","Animation","79.86","14","5.7042857142857143","2005-08-22 20:03:46"
"Carol Texas","Animation","79.83","17","4.6958823529411765","2005-08-23 11:55:50"
"Paradise Sabrina","Comedy","79.82","18","4.4344444444444444","2005-08-22 02:13:51"
"Strangelove Desire","Children","79.78","22","3.6263636363636364","2005-08-21 19:12:12"
"None Spiking","Sci-Fi","79.75","25","3.1900000000000000","2006-02-14 15:16:03"
"Super Wyoming","Family","78.88","12","6.5733333333333333","2005-08-20 17:58:00"
"Rules Human","Horror","78.87","13","6.0669230769230769","2005-08-22 06:53:21"
"Submarine Bed","Comedy","78.87","13","6.0669230769230769","2005-08-21 10:22:51"
"Groundhog Uncut","Comedy","78.86","14","5.6328571428571429","2006-02-14 15:16:03"
"Devil Desire","Action","78.86","14","5.6328571428571429","2006-02-14 15:16:03"
"Jekyll Frogmen","New","78.84","16","4.9275000000000000","2005-08-23 20:53:20"
"Intentions Empire","Animation","78.83","17","4.6370588235294118","2006-02-14 15:16:03"
"Murder Antitrust","Children","78.79","21","3.7519047619047619","2005-08-23 20:47:12"
"Blackout Private","Animation","78.77","23","3.4247826086956522","2005-08-23 01:39:10"
"Contact Anonymous","Travel","78.76","24","3.2816666666666667","2005-08-21 23:08:33"
"Tracy Cider","Animation","78.76","24","3.2816666666666667","2005-08-23 14:02:13"
"Deer Virginian","Music","78.76","25","3.1504000000000000","2006-02-14 15:16:03"
"Raging Airplane","Sci-Fi","77.88","12","6.4900000000000000","2005-08-23 02:51:27"
"Quills Bull","Documentary","77.87","13","5.9900000000000000","2005-08-23 08:51:21"
"Creepers Kane","Classics","77.87","13","5.9900000000000000","2005-08-23 01:15:07"
"Northwest Polish","Sports","77.82","18","4.3233333333333333","2005-08-23 20:12:17"
"Flying Hook","Animation","77.81","19","4.0952631578947368","2006-02-14 15:16:03"
"Harper Dying","Animation","77.80","20","3.8900000000000000","2005-08-23 21:59:26"
"Quest Mussolini","Action","77.80","20","3.8900000000000000","2005-08-23 08:19:55"
"Clash Freddy","Animation","77.77","23","3.3813043478260870","2005-08-23 18:49:32"
"Disturbing Scarface","Sci-Fi","77.77","23","3.3813043478260870","2005-08-22 14:26:01"
"Horror Reign","Travel","77.75","25","3.1100000000000000","2005-08-23 13:10:16"
"Lose Inch","Foreign","77.74","26","2.9900000000000000","2005-08-22 09:25:24"
"Tuxedo Mile","Sports","76.87","13","5.9130769230769231","2006-02-14 15:16:03"
"Model Fish","Children","76.87","13","5.9130769230769231","2005-08-21 17:30:17"
"Wanda Chamber","Games","76.86","14","5.4900000000000000","2006-02-14 15:16:03"
"Grinch Massage","Games","76.86","14","5.4900000000000000","2005-08-22 14:41:05"
"Image Princess","Sports","76.86","14","5.4900000000000000","2005-08-23 17:57:28"
"Lawless Vision","Animation","76.86","15","5.1240000000000000","2006-02-14 15:16:03"
"Baked Cleopatra","Family","76.85","15","5.1233333333333333","2006-02-14 15:16:03"
"Sleepy Japanese","New","76.83","18","4.2683333333333333","2006-02-14 15:16:03"
"National Story","Documentary","76.83","17","4.5194117647058824","2005-08-23 11:16:29"
"Unbreakable Karate","New","76.81","19","4.0426315789473684","2005-08-22 18:48:48"
"Shakespeare Saddle","Sports","76.80","20","3.8400000000000000","2005-08-22 02:26:33"
"Badman Dawn","Sci-Fi","76.79","21","3.6566666666666667","2005-08-23 15:23:50"
"Island Exorcist","Classics","76.77","23","3.3378260869565217","2005-08-23 11:28:49"
"Connecticut Tramp","Sci-Fi","75.89","11","6.8990909090909091","2005-08-22 06:23:54"
"Moonwalker Fool","Games","75.89","11","6.8990909090909091","2006-02-14 15:16:03"
"Deep Crusade","Documentary","75.87","13","5.8361538461538462","2006-02-14 15:16:03"
"Searchers Wait","Comedy","75.86","14","5.4185714285714286","2005-08-20 21:26:55"
"Holes Brannigan","Sports","75.86","15","5.0573333333333333","2006-02-14 15:16:03"
